state_county,nursing_home_count,overall_rating,health_insp_rating,qm_rating,longstay_qm_rating,shortstay_qm_rating,staffing_rating,rn_staffing_rating,nursing_turnover,rn_turnover,admin_turnover,nurse_aide_hrspres,lpn_hrspres,rn_hrspres,total_nurse_hrspres,total_weighted_health_survey_score,reported_incidents,substantiated_complaints,infection_control_citations,num_fines,fines_dollar_total,num_payment_denials,total_penalties
"KY, Greenup",3,3.33,4.0,3.0,3.67,2.67,1.67,1.67,57.73,49.17,1.0,1.91,0.79,0.36,3.07,13.778,0,0,0.0,7,16138.0,0,7
"KY, Trigg",1,4.0,4.0,2.0,3.0,1.0,4.0,5.0,63.0,54.5,0.0,2.03,0.41,1.17,3.64,18.667,0,0,1.0,1,3250.0,0,1
"KY, Carter",1,2.0,2.0,2.0,1.0,2.0,2.0,2.0,54.2,27.3,1.0,1.44,0.47,0.34,2.26,42.167,1,0,0.0,1,17292.45,0,1
"KY, Bath",1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,62.5,66.7,1.0,1.93,0.68,0.18,2.76,26.0,2,2,3.0,1,3250.0,0,1
"KY, Green",1,3.0,3.0,4.0,4.0,4.0,3.0,4.0,47.8,27.8,0.0,1.86,0.63,0.9,3.32,20.667,0,0,1.0,0,0.0,0,0
"KY, Grant",1,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,3.0,2.02,0.99,0.36,3.39,34.667,5,1,2.0,0,0.0,0,0
"KY, Marion",3,2.67,3.67,1.33,1.33,2.0,2.33,2.33,52.0,35.0,0.0,3.87,1.86,0.75,6.42,25.166666666666668,2,0,1.0,4,134096.18,0,4
"KY, Crittenden",1,4.0,4.0,3.0,3.0,4.0,2.0,2.0,,,,1.92,0.32,0.34,2.54,18.0,0,2,0.0,1,655.08,0,1
"KY, Cumberland",1,4.0,5.0,1.0,1.0,1.0,2.0,2.0,60.4,0.0,1.0,2.34,0.79,0.45,3.59,6.0,1,0,0.0,1,650.0,0,1
"KY, Owsley",1,2.0,2.0,1.0,2.0,1.0,5.0,5.0,57.8,57.1,0.0,2.28,0.66,1.16,4.11,55.333,1,4,4.0,3,15530.45,0,3
"KY, Morgan",1,3.0,3.0,2.0,2.0,2.0,2.0,2.0,52.5,50.0,1.0,1.7,0.44,0.5,2.66,25.333,1,0,0.0,2,14074.8,0,2
"KY, Ohio",3,3.0,3.33,3.33,3.0,3.0,2.33,2.67,55.75,42.65,1.5,2.11,0.51,0.55,3.18,26.666666666666668,3,1,0.0,6,19105.45,0,6
"KY, Anderson",1,4.0,4.0,4.0,4.0,4.0,3.0,3.0,64.3,62.5,,2.08,0.89,0.61,3.57,16.667,1,0,0.0,0,0.0,0,0
"KY, Bourbon",1,3.0,3.0,2.0,2.0,2.0,3.0,2.0,,,,3.4,0.9,0.49,4.8,29.333,1,1,1.0,2,26594.75,0,2
"KY, Breckinridge",2,3.0,2.5,3.5,3.0,4.0,3.5,3.5,55.35,42.9,1.0,2.66,0.53,0.98,4.02,48.833,1,0,1.0,5,18030.08,0,5
"KY, Russell",1,2.0,2.0,2.0,2.0,3.0,3.0,3.0,,,2.0,1.94,0.76,0.54,3.23,46.5,0,3,2.0,4,346152.7,1,5
"KY, Webster",1,5.0,5.0,4.0,4.0,,3.0,4.0,40.0,40.0,1.0,2.12,0.67,0.81,3.57,8.0,0,0,0.0,3,3810.28,0,3
"KY, Clay",1,3.0,3.0,4.0,4.0,3.0,2.0,3.0,53.8,60.0,0.0,1.55,0.45,0.54,2.52,19.333,0,3,0.0,1,650.0,0,1
"KY, Washington",2,3.5,3.0,2.5,2.0,3.0,3.0,3.5,52.3,33.35,0.0,2.3,0.8,0.81,3.9,38.333,1,1,0.0,4,52042.25,0,4
