state_county,Population,Race_White,Race_Black,Race_Asian,Race_Native,Race_Hispanic,Race_Multi,Alone_65,Under18,Over65,UnderHS,Ed_HSDiploma,Ed_SomeCollege,Ed_Assoc,Ed_Degree
"IA, Pocahontas",6619,106.41,0.39,0.18,0.14,2.51,1.19,7.54,6221198.01,6413943.0,2265022.0,11421548.0,6838949.0,4127012.99,4346035.01
"IA, Polk",490161,70.94,5.17,3.08,0.18,6.66,2.12,3.68,3006538130852.0,1273030008198.0,998559493851.0,2880955378001.0,2404764407646.0,1169094485572.0,4323126884508.0
"IA, Pottawattamie",93206,89.7,1.3,0.59,0.36,6.6,1.9,4.7,19538737430.0,11587198421.0,8530117118.0,26459955877.0,19279854968.0,9318061069.0,17382535923.0
"IA, Poweshiek",18504,95.68,1.15,1.38,0.22,2.46,1.4,6.72,132336907.0,116826114.0,38451312.0,240294979.0,128673115.0,60604486.0,165549367.0
"IA, Ringgold",4894,101.47,0.35,0.33,0.27,1.86,0.78,5.27,2840624.01,2761586.0,850284.0,4323213.0,2541209.99,1499325.99,2507686.0
"IA, Sac",9721,103.19,0.32,0.15,0.06,2.01,0.89,6.44,20628837.0,20335943.0,6614849.0,33905779.0,20921828.0,12020114.0,18398742.0
"IA, Scott",172943,79.15,6.6,1.91,0.21,5.32,2.84,4.59,126988826431.0,67657785061.0,37093490847.0,153207301716.0,108400207183.0,54105890298.0,164450201628.0
"IA, Shelby",11454,102.7,0.27,0.4,0.21,1.91,0.72,6.29,35409239.0,31381669.0,11387681.0,53094215.0,32168788.0,20321916.0,33297122.0
"IA, Sioux",34855,86.33,0.3,0.76,0.14,8.61,0.9,3.85,1136511757.0,604276952.0,413177792.0,1277801379.0,757957876.0,553495309.0,1232000863.0
"IA, Story",97117,80.12,2.19,5.53,0.14,2.78,1.56,3.08,16322520230.0,9150646350.0,2605039215.0,15969773804.0,16402689342.0,9341167568.0,47279284588.0
"IA, Tama",16854,88.25,0.35,0.27,7.02,7.83,2.68,5.19,122315040.0,88228162.0,41784774.0,191653407.0,107487228.0,62265418.0,75559179.0
"IA, Taylor",6121,95.93,0.2,0.28,0.15,5.95,0.96,6.75,5357710.99,4818206.0,2251732.0,8823422.01,4968048.0,3570563.0,3315806.99
"IA, Union",12241,98.27,0.72,0.48,0.25,1.84,1.02,6.11,42959667.0,33175069.0,17861210.0,65211234.0,46166319.0,21187702.0,32995248.0
"IA, Van Buren",7044,104.67,0.21,0.57,0.14,1.25,0.75,5.37,8410254.0,6916715.01,3775936.0,13605204.0,8330868.0,4192730.0,5051112.0
"IA, Wapello",34969,89.1,1.28,0.71,0.26,9.25,1.58,5.42,974474129.0,703005586.0,506863416.0,1494177113.0,972150789.0,497447663.0,805601135.0
"IA, Warren",51466,86.01,0.41,0.48,0.19,1.75,1.09,3.94,3544291009.0,1815717392.0,632786307.0,4195883507.0,2932959848.0,1520646860.0,4349776111.0
"IA, Washington",21965,91.57,0.64,0.33,0.18,5.18,1.45,4.86,266511669.0,183431692.0,90895783.0,415978002.0,205432056.0,116176619.0,231243566.0
"IA, Wayne",6441,96.94,0.26,0.23,0.19,1.07,0.75,7.14,6260330.0,5920116.01,3231772.01,11856849.99,5090387.01,3152998.0,3385325.0
"IA, Webster",35904,95.28,4.0,0.67,0.25,4.03,1.9,6.81,1025218973.0,771524540.0,441000215.0,1567026490.0,1058219775.0,640036911.0,922091196.0
"IA, Winnebago",10354,98.97,0.75,0.82,0.17,3.48,1.07,6.95,24046130.0,21376765.0,8394195.0,37864889.0,25246883.0,15351772.0,24142629.0
"IA, Winneshiek",19991,100.81,0.65,1.12,0.05,2.09,0.8,6.4,163053193.0,134598803.0,38045672.0,263922381.0,136836796.0,115935605.0,244180070.0
"IA, Woodbury",103107,76.89,2.31,2.32,1.74,13.57,3.21,4.49,29201377861.0,14085082271.0,14172257178.0,35251509998.0,23527584213.0,11319945341.0,25342305562.0
"IA, Worth",7381,99.38,0.28,0.33,0.14,1.99,0.91,5.85,9294155.01,7354723.99,2691260.01,14643978.0,9659146.0,6199744.99,7022357.0
"IA, Wright",12562,93.44,0.32,0.26,0.16,10.14,1.66,6.47,46252279.0,41486633.0,15164972.0,73110463.0,52248875.0,23544328.0,34180323.0
"ID, Ada",481587,70.46,0.87,1.92,0.43,5.79,2.32,3.61,2952024195706.0,1168304224857.0,540503631200.0,2498260903895.0,2716758423531.0,1110670604032.0,4303062947653.0
"ID, Adams",4294,87.75,0.09,0.37,0.84,2.19,1.56,6.94,1519345.99,1648381.0,772575.99,2760225.99,2146226.99,562385.0,1676034.0
"ID, Bannock",87808,81.5,0.67,1.21,2.62,6.36,2.51,3.71,18563956419.0,7555269012.0,5108808177.0,17905501788.0,19546241684.0,6297727619.0,18843838272.0
"ID, Bear Lake",6125,92.59,0.1,0.36,0.34,3.53,1.04,4.69,6280085.0,4235499.0,1489355.0,8823675.0,5987494.01,2340975.0,4333069.99
"ID, Benewah",9298,85.17,0.27,0.29,8.23,2.53,3.57,3.76,19054205.0,14714271.0,10002602.0,30889630.0,20083029.0,7166898.0,12241747.0
"ID, Bingham",46811,73.01,0.17,0.57,5.47,16.8,2.09,3.28,3383977957.0,1172329067.0,1112726961.0,3212839749.0,2691098386.0,1062985124.0,2177902840.0
"ID, Blaine",23021,72.41,0.1,0.76,0.19,18.56,1.42,4.47,296940282.0,141289085.0,138162143.0,311726210.0,245321445.0,93327134.0,431498718.0
"ID, Boise",7831,83.67,0.17,0.37,0.57,3.18,2.08,3.44,10308650.01,7641020.0,2735055.0,14674981.0,11375702.0,6206068.0,13037597.0
